activation,avg_loss,batch_size,block_size,chunk_size,config_name,embed_size,epoch,grad_norm,grad_norm_postclip,grad_norm_preclip,inner_layers,k,learning_rate,max_param_grad,model_type,num_epochs,perplexity,tinystories_weight,token_accuracy,token_drift_cosine,val_loss,weight_norm
gelu,10.231623077392578,32,16,1,kgram_mlp_seq_tsw0.8_bs32_lr0.001_actgelu_ep2_mlp9_k1_cs1_blk16_emb32_20250416_043721,32,2,0.9999992374066072,0.999999227428459,1.2085245336272663,9,1,0.001,0.2140399694442749,kgram_mlp_seq,2,27767.542382992164,0.8,0.16875000298023224,,9.986475429837666,1276.3052927439537
gelu,4.196199703216553,32,8,1,kgram_mlp_seq_tsw0.8_bs32_lr0.001_actgelu_ep7_mlp7_k2_cs1_blk8_emb64_20250416_043706,64,7,0.9999996332812777,0.9999996201569555,2.4226643052137278,7,2,0.001,0.3474815100431442,kgram_mlp_seq,7,66.43338413265826,0.8,0.6785714626312256,,3.7552487585279675,1801.446599255209
gelu,8.156695652008057,32,32,3,kgram_mlp_seq_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp7_k3_cs3_blk32_emb32_20250416_044005,32,2,0.9999990119351826,0.9999991320344698,1.1114771820282308,7,3,0.005,0.19887371063232423,kgram_mlp_seq,2,3486.6464547182063,0.8,0.04838709533214569,,7.135163201226129,1279.3437087679986
gelu,6.047370195388794,32,64,1,kgram_mlp_seq_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp7_k5_cs1_blk64_emb256_20250416_043951,256,2,0.4178579104505666,0.6375071466447004,0.6843833030842297,7,5,0.005,0.08384083099663257,kgram_mlp_seq,2,422.9991609137165,0.8,0.0679563507437706,,5.9258379482087635,3594.1019873001947
gelu,5.95551609992981,32,64,3,kgram_mlp_seq_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp9_k3_cs3_blk64_emb256_20250416_045100,256,2,0.4493327695826575,0.6745481091261833,0.7223236732857797,9,3,0.005,0.07662028074264526,kgram_mlp_seq,2,385.87600987767274,0.8,0.075396828353405,,5.9232793762570335,3594.745565227297
gelu,3.5433892726898195,32,32,2,kgram_mlp_seq_tsw0.8_bs32_lr0.005_actgelu_ep5_mlp5_k2_cs2_blk32_emb256_20250416_045039,256,5,0.5595426185523169,0.5703947284082108,0.5703947284082108,5,2,0.005,0.046248099952936175,kgram_mlp_seq,5,34.58393516628289,0.8,0.3649193346500397,,3.506831396193731,3604.7393783588855
relu,2.5426855802536013,32,8,2,kgram_mlp_seq_tsw0.8_bs32_lr0.005_actrelu_ep2_mlp5_k1_cs2_blk8_emb256_20250416_044113,256,2,0.9999990013941013,0.9999992619416481,1.6362573152041402,5,1,0.005,0.12347517348825932,kgram_mlp_seq,2,12.713769010832873,0.8,0.625,,2.295846344932677,3596.5851732132287
relu,3.9117581367492678,32,32,2,kgram_mlp_seq_tsw0.8_bs32_lr0.005_actrelu_ep7_mlp5_k3_cs2_blk32_emb64_20250416_045839,64,7,0.7446565852089823,0.7849692043991147,0.7849692043991147,5,3,0.005,0.059465011581778526,kgram_mlp_seq,7,49.986758319786674,0.8,0.3326612710952759,,3.772425178497557,1821.3235112741966
gelu,3.4620641469955444,64,64,2,kgram_mlp_seq_tsw0.8_bs64_lr0.001_actgelu_ep10_mlp5_k3_cs2_blk64_emb256_20250416_044016,256,10,0.691522850018599,0.667181943338997,0.667181943338997,5,3,0.001,0.02008720748126507,kgram_mlp_seq,10,31.88271925914948,0.8,0.3767361342906952,,3.4690295979380608,3591.4741935539764
relu,4.546687889099121,64,64,3,kgram_mlp_seq_tsw0.8_bs64_lr0.001_actrelu_ep10_mlp11_k5_cs3_blk64_emb256_20250416_045118,256,10,0.9999993140870272,0.9999993416536637,1.457672268505089,11,5,0.001,0.041774142533540726,kgram_mlp_seq,10,94.3194937736574,0.8,0.2380952537059784,,4.4914668798446655,3593.0027770874267
relu,8.720119667053222,64,128,2,kgram_mlp_seq_tsw0.8_bs64_lr0.001_actrelu_ep5_mlp7_k3_cs2_blk128_emb32_20250416_045555,32,5,0.8209304648660299,0.8556577461258188,0.8556577461258188,7,3,0.001,0.12197861298918725,kgram_mlp_seq,5,6124.911994429051,0.8,0.03592519834637642,,8.381990820169449,1275.595670971701
relu,4.191605186462402,64,128,2,kgram_mlp_seq_tsw0.8_bs64_lr0.001_actrelu_ep7_mlp5_k3_cs2_blk128_emb256_20250416_044826,256,7,0.6389905564748714,0.7018876912918462,0.7018876912918462,5,3,0.001,0.01973842643201351,kgram_mlp_seq,7,66.1288549541391,0.8,0.29466041922569275,,4.059677824378014,3590.282367512829
gelu,3.0459114789962767,64,32,3,kgram_mlp_seq_tsw0.8_bs64_lr0.005_actgelu_ep7_mlp3_k2_cs3_blk32_emb256_20250416_050020,256,7,0.3790201961705533,0.40179674852748376,0.40179674852748376,3,2,0.005,0.02612015511840582,kgram_mlp_seq,7,21.02919013518782,0.8,0.44254031777381897,,2.9737130478024483,3608.122382673222
gelu,3.8310458660125732,128,16,2,kvcache_transformer_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250416_045028,256,2,0.49531737475563486,0.8369947004065408,0.9430636777198339,5,3,0.001,0.04677208010107279,kvcache_transformer,2,46.11073867861617,0.8,0.5223958492279053,,3.1053179651498795,3593.7788999596883
gelu,7.255684232711792,128,64,2,kvcache_transformer_tsw0.8_bs128_lr0.001_actgelu_ep7_mlp11_k1_cs2_blk64_emb32_20250416_045441,32,7,0.8509661040374782,0.8778227057367649,0.8916858507257371,11,1,0.001,0.10966708660125732,kvcache_transformer,7,1416.1316352949195,0.8,0.133308544754982,,7.005362868309021,1278.4446224626474
gelu,4.986116123199463,128,32,2,kvcache_transformer_tsw0.8_bs128_lr0.001_actgelu_ep7_mlp3_k3_cs2_blk32_emb64_20250416_044721,64,7,0.6459791764604123,0.781030688505677,0.781030688505677,3,3,0.001,0.0675226639956236,kvcache_transformer,7,146.36684732714033,0.8,0.2928427457809448,,4.78363111615181,1801.9131294489043
relu,1.8546466112136841,128,8,2,kvcache_transformer_tsw0.8_bs128_lr0.001_actrelu_ep5_mlp7_k4_cs2_blk8_emb128_20250416_045653,128,5,0.5254968225429372,0.512845513156589,0.512845513156589,7,4,0.001,0.040268144384026525,kvcache_transformer,5,6.389439895195859,0.8,0.7321428656578064,,1.6654177457094193,2543.1249311358447
relu,6.631167411804199,128,16,1,kvcache_transformer_tsw0.8_bs128_lr0.001_actrelu_ep7_mlp11_k5_cs1_blk16_emb32_20250416_045638,32,7,0.9999991961117094,0.9999992189411075,1.2023342711642464,11,5,0.001,0.16631106436252593,kvcache_transformer,7,758.3669806376153,0.8,0.35104167461395264,,6.348066031932831,1278.9411710989968
gelu,3.4884048223495485,128,128,2,kvcache_transformer_tsw0.8_bs128_lr0.005_actgelu_ep10_mlp9_k3_cs2_blk128_emb128_20250416_041938,128,10,0.2784202003210742,0.2624860989571737,0.2624860989571737,9,3,0.005,0.021199348755180834,kvcache_transformer,10,32.733689986456575,0.8,0.3512549102306366,,3.4256199300289154,2554.482985603596
gelu,3.2685970067977905,128,16,3,kvcache_transformer_tsw0.8_bs128_lr0.005_actgelu_ep5_mlp3_k1_cs3_blk16_emb32_20250416_045012,32,5,0.26593586510285167,0.3058306868981243,0.3058306868981243,3,1,0.005,0.0439980573952198,kvcache_transformer,5,26.274450596407757,0.8,0.48750001192092896,,3.074534147977829,1293.4817305027366
gelu,2.021302342414856,128,16,1,kvcache_transformer_tsw0.8_bs128_lr0.005_actgelu_ep7_mlp3_k4_cs1_blk16_emb128_20250416_043656,128,7,0.3064390772680205,0.3485914490839983,0.3485914490839983,3,4,0.005,0.024079974740743637,kvcache_transformer,7,7.548148809596631,0.8,0.6057292222976685,,2.000801347196102,2555.981045580642
relu,2.049848437309265,128,16,3,kvcache_transformer_tsw0.8_bs128_lr0.005_actrelu_ep10_mlp3_k5_cs3_blk16_emb64_20250416_044953,64,10,0.27507886901696255,0.29276715927651803,0.29276715927651803,3,5,0.005,0.01750655137002468,kvcache_transformer,10,7.766723871528426,0.8,0.6187500357627869,,1.9733759015798569,1820.1967040757465
gelu,,256,128,3,kvcache_transformer_tsw0.8_bs256_lr0.001_actgelu_ep10_mlp9_k1_cs3_blk128_emb128_20250416_045942,128,,,,,9,1,0.001,,kvcache_transformer,10,,0.8,,,,
relu,,256,128,2,kvcache_transformer_tsw0.8_bs256_lr0.001_actrelu_ep10_mlp9_k4_cs2_blk128_emb64_20250416_045826,64,,,,,9,4,0.001,,kvcache_transformer,10,,0.8,,,,
relu,,256,128,2,kvcache_transformer_tsw0.8_bs256_lr0.001_actrelu_ep5_mlp11_k2_cs2_blk128_emb256_20250416_045904,256,,,,,11,2,0.001,,kvcache_transformer,5,,0.8,,,,
relu,,256,128,2,kvcache_transformer_tsw0.8_bs256_lr0.001_actrelu_ep7_mlp9_k4_cs2_blk128_emb128_20250416_044814,128,,,,,9,4,0.001,,kvcache_transformer,7,,0.8,,,,
gelu,2.423426604270935,256,32,3,kvcache_transformer_tsw0.8_bs256_lr0.005_actgelu_ep10_mlp9_k4_cs3_blk32_emb256_20250416_044409,256,10,0.3166920539940517,0.3285958511474737,0.3285958511474737,9,4,0.005,0.021935196220874788,kvcache_transformer,10,11.284460522201448,0.8,0.5127267837524414,,2.4032700657844543,3600.20767098736
gelu,2.660182976722717,256,32,2,kvcache_transformer_tsw0.8_bs256_lr0.005_actgelu_ep7_mlp11_k4_cs2_blk32_emb128_20250416_043934,128,7,0.2901895319770981,0.2863544826193142,0.2863544826193142,11,4,0.005,0.021333393827080726,kvcache_transformer,7,14.29890522614181,0.8,0.50390625,,2.5892137587070465,2551.726407961964
